curr,d,m,y,rate
CHF,12,10,2021,77_3203
CZK,12,10,2021,3_25417
KGS,12,10,2021,0_844509
DKK,12,10,2021,11_1349
TJS,12,10,2021,6_33678
INR,12,10,2021,0_951201
EUR,11,10,2021,82_9273
CNY,11,10,2021,11_1281
KZT,11,10,2021,0_168558
RUB,11,10,2021,1
BYN,11,10,2021,29_0206
GBP,11,10,2021,97_6918
UZS,11,10,2021,0_00670738
UAH,11,10,2021,2_71744
TRY,11,10,2021,8_00104
MDL,11,10,2021,4_12064
HUF,11,10,2021,0_229049
CHF,11,10,2021,77_3203
CZK,11,10,2021,3_25417
KGS,11,10,2021,0_844509
DKK,11,10,2021,11_1349
