curr,d,m,y,rate
KZT,14,12,2020,0_174209
RUB,14,12,2020,1
BYN,14,12,2020,28_8524
GBP,14,12,2020,97_6495
UZS,14,12,2020,0_00703863
UAH,14,12,2020,2_61622
TRY,14,12,2020,9_19115
MDL,14,12,2020,4_23872
HUF,14,12,2020,0_250338
CHF,14,12,2020,82_1808
CZK,14,12,2020,3_36582
KGS,14,12,2020,0_859716
DKK,14,12,2020,11_9076
TJS,14,12,2020,6_43807
INR,14,12,2020,0_991195
EUR,13,12,2020,88_5847
CNY,13,12,2020,11_1557
KZT,13,12,2020,0_174209
RUB,13,12,2020,1
BYN,13,12,2020,28_8524
GBP,13,12,2020,97_6495
UZS,13,12,2020,0_00703863
UAH,13,12,2020,2_61622
TRY,13,12,2020,9_19115
MDL,13,12,2020,4_23872
HUF,13,12,2020,0_250338
CHF,13,12,2020,82_1808
CZK,13,12,2020,3_36582
KGS,13,12,2020,0_859716
DKK,13,12,2020,11_9076
TJS,13,12,2020,6_43807
INR,13,12,2020,0_991195
EUR,12,12,2020,88_7744
CNY,12,12,2020,11_1778
KZT,12,12,2020,0_174472
RUB,12,12,2020,1
BYN,12,12,2020,28_8303
GBP,12,12,2020,96_7371
UZS,12,12,2020,0_00700172
UAH,12,12,2020,2_61535
TRY,12,12,2020,9_18298
MDL,12,12,2020,4_24496
HUF,12,12,2020,0_249542
CHF,12,12,2020,82_4067
CZK,12,12,2020,3_36089
KGS,12,12,2020,0_861982
DKK,12,12,2020,11_9062
TJS,12,12,2020,6_45504
INR,12,12,2020,0_992097
EUR,11,12,2020,89_133
CNY,11,12,2020,11_2578
KZT,11,12,2020,0_175322
RUB,11,12,2020,1
BYN,11,12,2020,28_9716
GBP,11,12,2020,98_1775
UZS,11,12,2020,0_00705855
UAH,11,12,2020,2_62496
TRY,11,12,2020,9_37948
MDL,11,12,2020,4_267
HUF,11,12,2020,0_250356
CHF,11,12,2020,82_9161
CZK,11,12,2020,3_39032
KGS,11,12,2020,0_869014
DKK,11,12,2020,11_977
TJS,11,12,2020,6_50738
INR,11,12,2020,0_999788
EUR,10,12,2020,88_9418
CNY,10,12,2020,11_2126
KZT,10,12,2020,0_174521
RUB,10,12,2020,1
BYN,10,12,2020,28_7654
GBP,10,12,2020,98_3689
UZS,10,12,2020,0_00701955
UAH,10,12,2020,2_61479
TRY,10,12,2020,9_37173
MDL,10,12,2020,4_23121
HUF,10,12,2020,0_248696
CHF,10,12,2020,82_5701
CZK,10,12,2020,3_38861
KGS,10,12,2020,0_864177
DKK,10,12,2020,11_947
TJS,10,12,2020,6_48723
INR,10,12,2020,0_996685
EUR,9,12,2020,89_2044
CNY,9,12,2020,11_2752
KZT,9,12,2020,0_174931
RUB,9,12,2020,1
BYN,9,12,2020,28_8259
GBP,9,12,2020,98_2943
UZS,9,12,2020,0_00705365
UAH,9,12,2020,2_62398
TRY,9,12,2020,9_4169
MDL,9,12,2020,4_25176
HUF,9,12,2020,0_246798
CHF,9,12,2020,82_7196
CZK,9,12,2020,3_36932
KGS,9,12,2020,0_868412
DKK,9,12,2020,11_9863
TJS,9,12,2020,6_50292
INR,9,12,2020,0_998719
EUR,8,12,2020,89_9695
CNY,8,12,2020,11_3566
KZT,8,12,2020,0_175995
RUB,8,12,2020,1
BYN,8,12,2020,28_9014
GBP,8,12,2020,98_538
UZS,8,12,2020,0_00716635
UAH,8,12,2020,2_6272
TRY,8,12,2020,9_47086
MDL,8,12,2020,4_28575
HUF,8,12,2020,0_249914
CHF,8,12,2020,83_1101
CZK,8,12,2020,3_38565
KGS,8,12,2020,0_875316
DKK,8,12,2020,12_0672
TJS,8,12,2020,6_5549
INR,8,12,2020,1_00541
EUR,7,12,2020,89_9695
CNY,7,12,2020,11_3566
KZT,7,12,2020,0_175995
RUB,7,12,2020,1
BYN,7,12,2020,28_9014
GBP,7,12,2020,98_538
UZS,7,12,2020,0_00716635
UAH,7,12,2020,2_6272
TRY,7,12,2020,9_47086
MDL,7,12,2020,4_28575
HUF,7,12,2020,0_249914
CHF,7,12,2020,83_1101
CZK,7,12,2020,3_38565
KGS,7,12,2020,0_875316
DKK,7,12,2020,12_0672
TJS,7,12,2020,6_5549
INR,7,12,2020,1_00541
EUR,6,12,2020,89_9695
CNY,6,12,2020,11_3566
KZT,6,12,2020,0_175995
RUB,6,12,2020,1
BYN,6,12,2020,28_9014
GBP,6,12,2020,98_538
UZS,6,12,2020,0_00716635
UAH,6,12,2020,2_6272
TRY,6,12,2020,9_47086
MDL,6,12,2020,4_28575
HUF,6,12,2020,0_249914
CHF,6,12,2020,83_1101
CZK,6,12,2020,3_38565
KGS,6,12,2020,0_875316
DKK,6,12,2020,12_0672
TJS,6,12,2020,6_5549
INR,6,12,2020,1_00541
EUR,5,12,2020,90_2618
CNY,5,12,2020,11_3698
KZT,5,12,2020,0_176335
RUB,5,12,2020,1
BYN,5,12,2020,28_9001
GBP,5,12,2020,99_989
UZS,5,12,2020,0_00712095
UAH,5,12,2020,2_62287
TRY,5,12,2020,9_51667
MDL,5,12,2020,4_29208
HUF,5,12,2020,0_251769
CHF,5,12,2020,83_3179
CZK,5,12,2020,3_40891
KGS,5,12,2020,0_875395
DKK,5,12,2020,12_1293
TJS,5,12,2020,6_55655
INR,5,12,2020,1_0073
EUR,4,12,2020,91_1946
CNY,4,12,2020,11_4651
KZT,4,12,2020,0_177802
RUB,4,12,2020,1
BYN,4,12,2020,29_0919
GBP,4,12,2020,100_79
UZS,4,12,2020,0_00721174
UAH,4,12,2020,2_65968
TRY,4,12,2020,9_53197
MDL,4,12,2020,4_38086
HUF,4,12,2020,0_253492
CHF,4,12,2020,84_2195
CZK,4,12,2020,3_45055
KGS,4,12,2020,0_886512
DKK,4,12,2020,12_2519
TJS,4,12,2020,6_63868
INR,4,12,2020,1_01748
EUR,3,12,2020,91_3052
CNY,3,12,2020,11_513
KZT,3,12,2020,0_177755
RUB,3,12,2020,1
BYN,3,12,2020,29_1905
GBP,3,12,2020,101_0747
UZS,3,12,2020,0_00725159
UAH,3,12,2020,2_65925
TRY,3,12,2020,9_6613
MDL,3,12,2020,4_38348
HUF,3,12,2020,0_255616
CHF,3,12,2020,83_9608
CZK,3,12,2020,3_46509
KGS,3,12,2020,0_891404
DKK,3,12,2020,12_2392
TJS,3,12,2020,6_67536
INR,3,12,2020,1_02546
EUR,2,12,2020,91_3096
CNY,2,12,2020,11_6138
KZT,2,12,2020,0_179286
RUB,2,12,2020,1
BYN,2,12,2020,29_4491
GBP,2,12,2020,102_2158
UZS,2,12,2020,0_00731922
UAH,2,12,2020,2_67385
TRY,2,12,2020,9_6531
MDL,2,12,2020,4_42437
HUF,2,12,2020,0_2548
CHF,2,12,2020,84_1923
CZK,2,12,2020,3_47986
KGS,2,12,2020,0_899745
DKK,2,12,2020,12_2761
TJS,2,12,2020,6_7391
INR,2,12,2020,1_03828
EUR,1,12,2020,91_2037
CNY,1,12,2020,11_5754
KZT,1,12,2020,0_179066
RUB,1,12,2020,1
BYN,1,12,2020,29_4583
GBP,1,12,2020,101_6507
UZS,1,12,2020,0_00735449
UAH,1,12,2020,2_67321
TRY,1,12,2020,9_74822
MDL,1,12,2020,4_41739
HUF,1,12,2020,0_252707
CHF,1,12,2020,84_4414
CZK,1,12,2020,3_48199
KGS,1,12,2020,0_898313
DKK,1,12,2020,12_2622
TJS,1,12,2020,6_72698
INR,1,12,2020,1_02993
EUR,30,11,2020,91_2037
CNY,30,11,2020,11_5754
KZT,30,11,2020,0_179066
RUB,30,11,2020,1
BYN,30,11,2020,29_4583
GBP,30,11,2020,101_6507
UZS,30,11,2020,0_00735449
UAH,30,11,2020,2_67321
TRY,30,11,2020,9_74822
MDL,30,11,2020,4_41739
HUF,30,11,2020,0_252707
CHF,30,11,2020,84_4414
CZK,30,11,2020,3_48199
KGS,30,11,2020,0_898313
DKK,30,11,2020,12_2622
TJS,30,11,2020,6_72698
INR,30,11,2020,1_02993
EUR,29,11,2020,91_2037
CNY,29,11,2020,11_5754
KZT,29,11,2020,0_179066
RUB,29,11,2020,1
BYN,29,11,2020,29_4583
GBP,29,11,2020,101_6507
UZS,29,11,2020,0_00735449
UAH,29,11,2020,2_67321
TRY,29,11,2020,9_74822
MDL,29,11,2020,4_41739
HUF,29,11,2020,0_252707
CHF,29,11,2020,84_4414
CZK,29,11,2020,3_48199
KGS,29,11,2020,0_898313
DKK,29,11,2020,12_2622
TJS,29,11,2020,6_72698
INR,29,11,2020,1_02993
EUR,28,11,2020,90_4629
CNY,28,11,2020,11_5245
KZT,28,11,2020,0_178898
RUB,28,11,2020,1
BYN,28,11,2020,29_3587
GBP,28,11,2020,101_3792
UZS,28,11,2020,0_00728381
UAH,28,11,2020,2_66526
TRY,28,11,2020,9_70038
MDL,28,11,2020,4_39768
HUF,28,11,2020,0_250582
CHF,28,11,2020,83_6844
CZK,28,11,2020,3_45981
KGS,28,11,2020,0_894298
DKK,28,11,2020,12_1533
TJS,28,11,2020,6_69697
INR,28,11,2020,1_02725
EUR,27,11,2020,90_0291
CNY,27,11,2020,11_4803
KZT,27,11,2020,0_178314
RUB,27,11,2020,1
BYN,27,11,2020,29_4022
GBP,27,11,2020,100_8489
UZS,27,11,2020,0_00724463
UAH,27,11,2020,2_65255
TRY,27,11,2020,9_5247
MDL,27,11,2020,4_37402
HUF,27,11,2020,0_249316
CHF,27,11,2020,83_1242
CZK,27,11,2020,3_44411
KGS,27,11,2020,0_889476
DKK,27,11,2020,12_0916
TJS,27,11,2020,6_66094
INR,27,11,2020,1_02211
EUR,26,11,2020,89_888
CNY,26,11,2020,11_4714
KZT,26,11,2020,0_178427
RUB,26,11,2020,1
BYN,26,11,2020,29_4585
GBP,26,11,2020,100_8315
UZS,26,11,2020,0_00724664
UAH,26,11,2020,2_661
TRY,26,11,2020,9_48364
MDL,26,11,2020,4_38158
HUF,26,11,2020,0_249291
CHF,26,11,2020,82_8096
CZK,26,11,2020,3_43479
KGS,26,11,2020,0_889828
DKK,26,11,2020,12_0867
TJS,26,11,2020,6_66279
INR,26,11,2020,1_02085
EUR,25,11,2020,89_8934
CNY,25,11,2020,11_5257
KZT,25,11,2020,0_17856
RUB,25,11,2020,1
BYN,25,11,2020,29_6998
GBP,25,11,2020,101_3869
UZS,25,11,2020,0_00731731
UAH,25,11,2020,2_67102
TRY,25,11,2020,9_62456
MDL,25,11,2020,4_41026
HUF,25,11,2020,0_249558
CHF,25,11,2020,83_2944
CZK,25,11,2020,3_42835
KGS,25,11,2020,0_893787
DKK,25,11,2020,12_0947
TJS,25,11,2020,6_69297
INR,25,11,2020,1_0249
EUR,24,11,2020,89_9347
CNY,24,11,2020,11_5326
KZT,24,11,2020,0_178242
RUB,24,11,2020,1
BYN,24,11,2020,29_7506
GBP,24,11,2020,101_1472
UZS,24,11,2020,0_00731204
UAH,24,11,2020,2_67184
TRY,24,11,2020,9_74819
MDL,24,11,2020,4_40337
HUF,24,11,2020,0_249806
CHF,24,11,2020,83_1979
CZK,24,11,2020,3_41338
KGS,24,11,2020,0_893142
DKK,24,11,2020,12_0714
TJS,24,11,2020,6_68815
INR,24,11,2020,1_02291
EUR,23,11,2020,89_9347
CNY,23,11,2020,11_5326
KZT,23,11,2020,0_178242
RUB,23,11,2020,1
BYN,23,11,2020,29_7506
GBP,23,11,2020,101_1472
UZS,23,11,2020,0_00731204
UAH,23,11,2020,2_67184
TRY,23,11,2020,9_74819
MDL,23,11,2020,4_40337
HUF,23,11,2020,0_249806
CHF,23,11,2020,83_1979
CZK,23,11,2020,3_41338
KGS,23,11,2020,0_893142
DKK,23,11,2020,12_0714
TJS,23,11,2020,6_68815
INR,23,11,2020,1_02291
EUR,22,11,2020,89_9347
CNY,22,11,2020,11_5326
KZT,22,11,2020,0_178242
RUB,22,11,2020,1
BYN,22,11,2020,29_7506
GBP,22,11,2020,101_1472
UZS,22,11,2020,0_00731204
UAH,22,11,2020,2_67184
TRY,22,11,2020,9_74819
MDL,22,11,2020,4_40337
HUF,22,11,2020,0_249806
CHF,22,11,2020,83_1979
CZK,22,11,2020,3_41338
KGS,22,11,2020,0_893142
DKK,22,11,2020,12_0714
TJS,22,11,2020,6_68815
INR,22,11,2020,1_02291
EUR,21,11,2020,90_2643
CNY,21,11,2020,11_566
KZT,21,11,2020,0_177499
RUB,21,11,2020,1
BYN,21,11,2020,29_7619
GBP,21,11,2020,100_8071
UZS,21,11,2020,0_00731523
UAH,21,11,2020,2_68198
TRY,21,11,2020,10_0149
MDL,21,11,2020,4_42187
HUF,21,11,2020,0_251026
CHF,21,11,2020,83_5756
CZK,21,11,2020,3_42636
KGS,21,11,2020,0_896271
DKK,21,11,2020,12_1094
TJS,21,11,2020,6_7104
INR,21,11,2020,1_02573
EUR,20,11,2020,90_3484
CNY,20,11,2020,11_5807
KZT,20,11,2020,0_178022
RUB,20,11,2020,1
BYN,20,11,2020,29_8111
GBP,20,11,2020,100_7507
UZS,20,11,2020,0_00733935
UAH,20,11,2020,2_70531
TRY,20,11,2020,9_95649
MDL,20,11,2020,4_44033
HUF,20,11,2020,0_249849
CHF,20,11,2020,83_603
CZK,20,11,2020,3_421
KGS,20,11,2020,0_899327
DKK,20,11,2020,12_1117
TJS,20,11,2020,6_73253
INR,20,11,2020,1_02676
EUR,19,11,2020,90_2314
CNY,19,11,2020,11_6037
KZT,19,11,2020,0_177507
RUB,19,11,2020,1
BYN,19,11,2020,29_7635
GBP,19,11,2020,100_9143
UZS,19,11,2020,0_00732813
UAH,19,11,2020,2_70082
TRY,19,11,2020,9_82769
MDL,19,11,2020,4_42722
HUF,19,11,2020,0_249554
CHF,19,11,2020,83_4085
CZK,19,11,2020,3_41413
KGS,19,11,2020,0_895076
DKK,19,11,2020,12_1153
TJS,19,11,2020,6_70435
INR,19,11,2020,1_02382
EUR,18,11,2020,90_3903
CNY,18,11,2020,11_6269
KZT,18,11,2020,0_177874
RUB,18,11,2020,1
BYN,18,11,2020,29_8329
GBP,18,11,2020,100_7455
UZS,18,11,2020,0_00733842
UAH,18,11,2020,2_71462
TRY,18,11,2020,9_85257
MDL,18,11,2020,4_45794
HUF,18,11,2020,0_251453
CHF,18,11,2020,83_5924
CZK,18,11,2020,3_42095
KGS,18,11,2020,0_898922
DKK,18,11,2020,12_1445
TJS,18,11,2020,6_73167
INR,18,11,2020,1_02275
EUR,17,11,2020,91_1729
CNY,17,11,2020,11_6937
KZT,17,11,2020,0_179116
RUB,17,11,2020,1
BYN,17,11,2020,30_0585
GBP,17,11,2020,101_6955
UZS,17,11,2020,0_00742396
UAH,17,11,2020,2_73541
TRY,17,11,2020,10_053
MDL,17,11,2020,4_49823
HUF,17,11,2020,0_255607
CHF,17,11,2020,84_4993
CZK,17,11,2020,3_45769
KGS,17,11,2020,0_906781
DKK,17,11,2020,12_2511
TJS,17,11,2020,6_79203
INR,17,11,2020,1_03267
EUR,16,11,2020,91_1729
CNY,16,11,2020,11_6937
KZT,16,11,2020,0_179116
RUB,16,11,2020,1
BYN,16,11,2020,30_0585
GBP,16,11,2020,101_6955
UZS,16,11,2020,0_00742396
UAH,16,11,2020,2_73541
TRY,16,11,2020,10_053
MDL,16,11,2020,4_49823
HUF,16,11,2020,0_255607
CHF,16,11,2020,84_4993
CZK,16,11,2020,3_45769
KGS,16,11,2020,0_906781
DKK,16,11,2020,12_2511
TJS,16,11,2020,6_79203
INR,16,11,2020,1_03267
EUR,15,11,2020,91_1729
CNY,15,11,2020,11_6937
KZT,15,11,2020,0_179116
RUB,15,11,2020,1
BYN,15,11,2020,30_0585
GBP,15,11,2020,101_6955
UZS,15,11,2020,0_00742396
UAH,15,11,2020,2_73541
TRY,15,11,2020,10_053
MDL,15,11,2020,4_49823
HUF,15,11,2020,0_255607
CHF,15,11,2020,84_4993
CZK,15,11,2020,3_45769
KGS,15,11,2020,0_906781
DKK,15,11,2020,12_2511
TJS,15,11,2020,6_79203
INR,15,11,2020,1_03267
EUR,14,11,2020,91_3222
CNY,14,11,2020,11_6893
KZT,14,11,2020,0_179749
RUB,14,11,2020,1
BYN,14,11,2020,30_1208
GBP,14,11,2020,101_7535
UZS,14,11,2020,0_0074632
UAH,14,11,2020,2_75011
TRY,14,11,2020,10_0786
MDL,14,11,2020,4_51672
HUF,14,11,2020,0_257282
CHF,14,11,2020,84_5003
CZK,14,11,2020,3_4433
KGS,14,11,2020,0_918636
DKK,14,11,2020,12_267
TJS,14,11,2020,6_82641
INR,14,11,2020,1_03708
EUR,13,11,2020,90_8104
CNY,13,11,2020,11_6307
KZT,13,11,2020,0_179612
RUB,13,11,2020,1
BYN,13,11,2020,30_0549
GBP,13,11,2020,101_6682
UZS,13,11,2020,0_00742997
UAH,13,11,2020,2_73498
TRY,13,11,2020,9_83093
MDL,13,11,2020,4_50964
HUF,13,11,2020,0_255559
CHF,13,11,2020,84_2601
CZK,13,11,2020,3_43144
KGS,13,11,2020,0_916466
DKK,13,11,2020,12_2112
TJS,13,11,2020,6_80775
INR,13,11,2020,1_03316
EUR,12,11,2020,90_0468
CNY,12,11,2020,11_5124
KZT,12,11,2020,0_178351
RUB,12,11,2020,1
BYN,12,11,2020,29_8443
GBP,12,11,2020,101_1959
UZS,12,11,2020,0_00734256
UAH,12,11,2020,2_70623
TRY,12,11,2020,9_38112
MDL,12,11,2020,4_45788
HUF,12,11,2020,0_252623
CHF,12,11,2020,83_1143
CZK,12,11,2020,3_39575
KGS,12,11,2020,0_908924
DKK,12,11,2020,12_0698
TJS,12,11,2020,6_72914
INR,12,11,2020,1_02533
EUR,11,11,2020,90_3557
CNY,11,11,2020,11_5689
KZT,11,11,2020,0_178067
RUB,11,11,2020,1
BYN,11,11,2020,29_8966
GBP,11,11,2020,100_9597
UZS,11,11,2020,0_00737359
UAH,11,11,2020,2_71854
TRY,11,11,2020,9_27428
MDL,11,11,2020,4_46771
HUF,11,11,2020,0_2523
CHF,11,11,2020,83_6961
CZK,11,11,2020,3_41443
KGS,11,11,2020,0_911196
DKK,11,11,2020,12_1411
TJS,11,11,2020,6_74445
INR,11,11,2020,1_03014
EUR,10,11,2020,91_4953
CNY,10,11,2020,11_711
KZT,10,11,2020,0_178587
RUB,10,11,2020,1
BYN,10,11,2020,29_8493
GBP,10,11,2020,101_2605
UZS,10,11,2020,0_00742703
UAH,10,11,2020,2_73654
TRY,10,11,2020,9_32429
MDL,10,11,2020,4_49483
HUF,10,11,2020,0_255517
CHF,10,11,2020,85_5873
CZK,10,11,2020,3_44333
KGS,10,11,2020,0_917798
DKK,10,11,2020,12_2692
TJS,10,11,2020,6_79483
INR,10,11,2020,1_03941
EUR,9,11,2020,91_4953
CNY,9,11,2020,11_711
KZT,9,11,2020,0_178587
RUB,9,11,2020,1
BYN,9,11,2020,29_8493
GBP,9,11,2020,101_2605
UZS,9,11,2020,0_00742703
UAH,9,11,2020,2_73654
TRY,9,11,2020,9_32429
MDL,9,11,2020,4_49483
HUF,9,11,2020,0_255517
CHF,9,11,2020,85_5873
CZK,9,11,2020,3_44333
KGS,9,11,2020,0_917798
DKK,9,11,2020,12_2692
TJS,9,11,2020,6_79483
INR,9,11,2020,1_03941
EUR,8,11,2020,91_4953
CNY,8,11,2020,11_711
KZT,8,11,2020,0_178587
RUB,8,11,2020,1
BYN,8,11,2020,29_8493
GBP,8,11,2020,101_2605
UZS,8,11,2020,0_00742703
UAH,8,11,2020,2_73654
TRY,8,11,2020,9_32429
MDL,8,11,2020,4_49483
HUF,8,11,2020,0_255517
CHF,8,11,2020,85_5873
CZK,8,11,2020,3_44333
KGS,8,11,2020,0_917798
DKK,8,11,2020,12_2692
TJS,8,11,2020,6_79483
INR,8,11,2020,1_03941
EUR,7,11,2020,91_3514
CNY,7,11,2020,11_6589
KZT,7,11,2020,0_178491
RUB,7,11,2020,1
BYN,7,11,2020,29_9676
GBP,7,11,2020,101_463
UZS,7,11,2020,0_00744981
UAH,7,11,2020,2_73521
TRY,7,11,2020,9_11627
MDL,7,11,2020,4_48765
HUF,7,11,2020,0_254732
CHF,7,11,2020,85_4317
CZK,7,11,2020,3_4333
KGS,7,11,2020,0_920268
DKK,7,11,2020,12_2691
TJS,7,11,2020,6_81417
INR,7,11,2020,1_04019
EUR,6,11,2020,92_1229
CNY,6,11,2020,11_8146
KZT,6,11,2020,0_18134
RUB,6,11,2020,1
BYN,6,11,2020,29_9187
GBP,6,11,2020,102_1417
UZS,6,11,2020,0_00757223
UAH,6,11,2020,2_75768
TRY,6,11,2020,9_26608
MDL,6,11,2020,4_56139
HUF,6,11,2020,0_256178
CHF,6,11,2020,86_2532
CZK,6,11,2020,3_44037
KGS,6,11,2020,0_935007
DKK,6,11,2020,12_3918
TJS,6,11,2020,6_92614
INR,6,11,2020,1_05476
EUR,5,11,2020,92_1229
CNY,5,11,2020,11_8146
KZT,5,11,2020,0_18134
RUB,5,11,2020,1
BYN,5,11,2020,29_9187
GBP,5,11,2020,102_1417
UZS,5,11,2020,0_00757223
UAH,5,11,2020,2_75768
TRY,5,11,2020,9_26608
MDL,5,11,2020,4_56139
HUF,5,11,2020,0_256178
CHF,5,11,2020,86_2532
CZK,5,11,2020,3_44037
KGS,5,11,2020,0_935007
DKK,5,11,2020,12_3918
TJS,5,11,2020,6_92614
INR,5,11,2020,1_05476
EUR,4,11,2020,93_3447
CNY,4,11,2020,11_9623
KZT,4,11,2020,0_184591
RUB,4,11,2020,1
BYN,4,11,2020,30_1855
GBP,4,11,2020,103_7208
UZS,4,11,2020,0_00771696
UAH,4,11,2020,2_79451
TRY,4,11,2020,9_45868
MDL,4,11,2020,4_66476
HUF,4,11,2020,0_255801
CHF,4,11,2020,87_2607
CZK,4,11,2020,3_4562
KGS,4,11,2020,0_977677
DKK,4,11,2020,12_5558
TJS,4,11,2020,7_752
INR,4,11,2020,1_07538
EUR,3,11,2020,93_757
CNY,3,11,2020,12_0259
KZT,3,11,2020,0_184892
RUB,3,11,2020,1
BYN,3,11,2020,30_3027
GBP,3,11,2020,103_708
UZS,3,11,2020,0_00777675
UAH,3,11,2020,2_82349
TRY,3,11,2020,9_58791
MDL,3,11,2020,4_71474
HUF,3,11,2020,0_255651
CHF,3,11,2020,87_7722
CZK,3,11,2020,3_43808
KGS,3,11,2020,0_984696
DKK,3,11,2020,12_5853
TJS,3,11,2020,7_7869
INR,3,11,2020,1_08252
EUR,2,11,2020,93_757
CNY,2,11,2020,12_0259
KZT,2,11,2020,0_184892
RUB,2,11,2020,1
BYN,2,11,2020,30_3027
GBP,2,11,2020,103_708
UZS,2,11,2020,0_00777675
UAH,2,11,2020,2_82349
TRY,2,11,2020,9_58791
MDL,2,11,2020,4_71474
HUF,2,11,2020,0_255651
CHF,2,11,2020,87_7722
CZK,2,11,2020,3_43808
KGS,2,11,2020,0_984696
DKK,2,11,2020,12_5853
TJS,2,11,2020,7_7869
INR,2,11,2020,1_08252
EUR,1,11,2020,93_757
CNY,1,11,2020,12_0259
KZT,1,11,2020,0_184892
RUB,1,11,2020,1
BYN,1,11,2020,30_3027
GBP,1,11,2020,103_708
UZS,1,11,2020,0_00777675
UAH,1,11,2020,2_82349
TRY,1,11,2020,9_58791
MDL,1,11,2020,4_71474
HUF,1,11,2020,0_255651
CHF,1,11,2020,87_7722
CZK,1,11,2020,3_43808
KGS,1,11,2020,0_984696
DKK,1,11,2020,12_5853
TJS,1,11,2020,7_7869
INR,1,11,2020,1_08252
EUR,31,10,2020,92_6284
CNY,31,10,2020,11_8403
KZT,31,10,2020,0_183154
RUB,31,10,2020,1
BYN,31,10,2020,30_0946
GBP,31,10,2020,102_5449
UZS,31,10,2020,0_00765682
UAH,31,10,2020,2_78971
TRY,31,10,2020,9_5254
MDL,31,10,2020,4_65292
HUF,31,10,2020,0_251749
CHF,31,10,2020,86_5884
CZK,31,10,2020,3_38803
KGS,31,10,2020,0_971067
DKK,31,10,2020,12_431
TJS,31,10,2020,7_66866
INR,31,10,2020,1_06296
EUR,30,10,2020,92_6011
CNY,30,10,2020,11_7523
KZT,30,10,2020,0_182276
RUB,30,10,2020,1
BYN,30,10,2020,30_0457
GBP,30,10,2020,102_4678
UZS,30,10,2020,0_00761219
UAH,30,10,2020,2_77437
TRY,30,10,2020,9_49988
MDL,30,10,2020,4_6258
HUF,30,10,2020,0_250779
CHF,30,10,2020,86_5656
CZK,30,10,2020,3_37217
KGS,30,10,2020,0_965407
DKK,30,10,2020,12_4252
TJS,30,10,2020,7_63134
INR,30,10,2020,1_06425
EUR,29,10,2020,91_2632
CNY,29,10,2020,11_5515
KZT,29,10,2020,0_17996
RUB,29,10,2020,1
BYN,29,10,2020,30_0974
GBP,29,10,2020,100_8796
UZS,29,10,2020,0_00748499
UAH,29,10,2020,2_73151
TRY,29,10,2020,9_40104
MDL,29,10,2020,4_5485
HUF,29,10,2020,0_249083
CHF,29,10,2020,85_0537
CZK,29,10,2020,3_33056
KGS,29,10,2020,0_955927
DKK,29,10,2020,12_2505
TJS,29,10,2020,7_51473
INR,29,10,2020,1_04981
EUR,28,10,2020,90_3552
CNY,28,10,2020,11_3841
KZT,28,10,2020,0_17787
RUB,28,10,2020,1
BYN,28,10,2020,29_9239
GBP,28,10,2020,99_4458
UZS,28,10,2020,0_00737917
UAH,28,10,2020,2_6959
TRY,28,10,2020,9_38152
MDL,28,10,2020,4_4842
HUF,28,10,2020,0_247165
CHF,28,10,2020,84_1929
CZK,28,10,2020,3_29792
KGS,28,10,2020,0_947833
DKK,28,10,2020,12_1293
TJS,28,10,2020,7_39774
INR,28,10,2020,1_03683
EUR,27,10,2020,90_4489
CNY,27,10,2020,11_411
KZT,27,10,2020,0_177844
RUB,27,10,2020,1
BYN,27,10,2020,30_0903
GBP,27,10,2020,99_5228
UZS,27,10,2020,0_00737808
UAH,27,10,2020,2_69859
TRY,27,10,2020,9_48123
MDL,27,10,2020,4_48354
HUF,27,10,2020,0_247125
CHF,27,10,2020,84_3384
CZK,27,10,2020,3_31229
KGS,27,10,2020,0_947768
DKK,27,10,2020,12_1423
TJS,27,10,2020,7_39664
INR,27,10,2020,1_0349
EUR,26,10,2020,90_4489
CNY,26,10,2020,11_411
KZT,26,10,2020,0_177844
RUB,26,10,2020,1
BYN,26,10,2020,30_0903
GBP,26,10,2020,99_5228
UZS,26,10,2020,0_00737808
UAH,26,10,2020,2_69859
TRY,26,10,2020,9_48123
MDL,26,10,2020,4_48354
HUF,26,10,2020,0_247125
CHF,26,10,2020,84_3384
CZK,26,10,2020,3_31229
KGS,26,10,2020,0_947768
DKK,26,10,2020,12_1423
TJS,26,10,2020,7_39664
INR,26,10,2020,1_0349
EUR,25,10,2020,90_4489
CNY,25,10,2020,11_411
KZT,25,10,2020,0_177844
RUB,25,10,2020,1
BYN,25,10,2020,30_0903
GBP,25,10,2020,99_5228
UZS,25,10,2020,0_00737808
UAH,25,10,2020,2_69859
TRY,25,10,2020,9_48123
MDL,25,10,2020,4_48354
HUF,25,10,2020,0_247125
CHF,25,10,2020,84_3384
CZK,25,10,2020,3_31229
KGS,25,10,2020,0_947768
DKK,25,10,2020,12_1423
TJS,25,10,2020,7_39664
INR,25,10,2020,1_0349
EUR,24,10,2020,90_4142
CNY,24,10,2020,11_4662
KZT,24,10,2020,0_178832
RUB,24,10,2020,1
BYN,24,10,2020,30_1953
GBP,24,10,2020,100_1943
UZS,24,10,2020,0_00737953
UAH,24,10,2020,2_70369
TRY,24,10,2020,9_59155
MDL,24,10,2020,4_49012
HUF,24,10,2020,0_248769
CHF,24,10,2020,84_4936
CZK,24,10,2020,3_33333
KGS,24,10,2020,0_94672
DKK,24,10,2020,12_1714
TJS,24,10,2020,7_40956
INR,24,10,2020,1_0392
EUR,23,10,2020,91_3563
CNY,23,10,2020,11_5577
KZT,23,10,2020,0_179869
RUB,23,10,2020,1
